,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
2426,3294798575315545728,10.692741453128068,101.85847757462598,187.60585847547927,-20.70557266510653,1.203969
2494,3291566968905764096,10.038784886035739,104.99671817829476,189.32900795095537,-19.207232771394796,1.2066593
2524,3294834309443265536,11.508464923597938,261.3360955347299,188.07513664662176,-20.076364801145093,1.1060715
2558,3293010868191223168,11.074211738952688,200.791282751493,188.23155697709194,-22.783608420607678,1.1065941
2564,3289308331504753536,9.319155608318596,102.63427673885379,189.97485394161725,-22.99070796541457,1.1049271
2593,3293026196930834560,8.861747511181228,105.14520704908125,188.43488733152705,-22.37979340597952,1.0623093
2628,3294866229640152320,9.640738122630317,121.64046347005686,187.88498941382562,-19.873237447003213,1.1290178
2699,3293109205766672768,10.459603046821258,259.172839108252,187.84767117660132,-22.58660091986607,1.2534809
2811,3293183835113600640,10.808372782112215,205.38484326903702,188.1039030331482,-21.612929910555646,1.2607651
2849,3294968308125741312,9.085300947102194,110.88211968810826,188.85323073989952,-19.265226114187698,1.062254
2878,3294985556715336832,10.09074000832927,189.94184421149265,189.0576329796362,-18.580337879769065,1.1419201
2915,3295005764536733056,9.617169900007838,193.4259444141062,188.76979822331683,-18.738091062967563,1.0995331
3041,3293296947373150720,9.966954775553052,154.67666416870142,187.79976918287335,-24.6961960576155,1.1149921
3049,3293299455634097664,9.557865332424928,103.91646171862408,187.7611514269085,-24.584849837685258,1.082159
3157,3295159249488026240,9.992020668151035,101.98512410075084,188.52929222783456,-18.36160845519706,1.0800991
3172,3293368621786925952,8.768805408521189,174.60576042436205,187.20941828662993,-24.864652203050124,0.92773247
3287,3295226354056921728,10.011268855101566,148.7728654644812,188.12501324041594,-17.623250854868267,1.0757427
3337,3293442121563480704,8.150920047794735,125.46041850765745,187.79672250522862,-23.511006998171936,0.95206165
3351,3295255796057197056,11.102705226255509,252.19296091174857,187.94216605363945,-19.205693642390862,1.114994
3380,3295264493365759872,12.110088939286726,205.3755298101113,188.14591965874288,-18.93473980654061,1.2639332
3403,3293487540841583360,9.572570168911689,215.51884558138346,187.0310178037426,-24.38641591228979,1.1122456
3427,3295292664056348288,9.000863909487553,113.13928008841606,187.8693518264847,-18.689861536399913,1.1060829
3432,3295295034878298496,10.048777309222988,142.02654550589241,187.7493094501239,-18.84801305626524,1.1442986
3457,3293521969299217792,9.127881385815485,126.23198889670017,187.05278805497764,-23.88249796604561,0.9874706
3485,3295315238405060352,9.869432899390183,104.98291816235715,187.55810014968748,-19.210798047648144,1.2322407
3509,3293552068429715712,9.358464522207338,110.5038262958576,186.83371040816573,-25.122456139855807,1.0952454
3635,3293615015470931968,9.445103994267505,132.78241936879814,186.27277724467837,-25.473951452745062,1.1226063
3693,3293647485423873792,9.261339936754165,208.98655408692335,186.3735305204445,-24.825413443431447,0.998497
3712,3291979388846153088,10.300719876271735,183.2550738037318,189.18121998416765,-18.699202884250884,0.99180603
3788,3293720362428258048,8.759117056032316,116.99939503812048,186.64935857217247,-23.992961841683062,0.98721886
3805,3293739397723419136,10.005140802007052,113.72470401071591,186.45818536036668,-23.887332413006614,1.1775951
3838,3449281122954658816,9.667930170827965,211.38198778122012,175.05229691909278,0.9155181192620327,1.054369
3845,3449650971176104192,9.878402711857973,125.75715530411154,174.02858451908799,1.6332832036175495,1.1619797
3911,3449290198221644416,8.454364774812472,104.43951068370767,174.87512868143995,0.6185180704770197,0.9864321
3972,3450466641302777600,9.815548201539098,146.89539028075117,179.53994090575986,5.823867140363389,1.0867634
3988,3450064593706461568,10.151344709112951,107.00294121262048,179.2686973371578,3.126301095055701,1.2047329
4201,3450092631253787520,10.610570889560428,172.90630193411897,179.30167649234372,3.5411812780611736,1.1518993
4237,3450948845871449984,9.866201823692428,100.97874683745817,178.26141374146053,3.6790285102903484,1.1371899
4270,3449334895946126464,10.254530159118062,101.82203477126286,174.61679673465434,1.2864511711674662,1.2159519
